Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
623,12/16/2014 11:45:00 AM,0013a20040b5b337,1,511,15.2,15.2,15.2,14.8,14.8,14.8,37.3,37.3,37.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216114500,,0
630,12/16/2014 11:55:00 AM,0013a20040b5b337,1,511,14.8,14.8,14.8,14.6,14.6,14.6,36.3,36.3,36.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216115500,,0
648,12/16/2014 12:25:00 PM,0013a20040b5b337,1,511,14.8,14.8,14.8,14.3,14.3,14.3,37.1,37.1,37.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216122500,,0
656,12/16/2014 12:35:00 PM,0013a20040b5b337,1,511,14.5,14.5,14.5,14.7,14.7,14.7,38.5,38.5,38.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216123500,,0
664,12/16/2014 12:45:00 PM,0013a20040b5b337,1,511,14.5,14.5,14.5,14.1,14.1,14.1,38.2,38.2,38.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216124500,,0
670,12/16/2014 12:55:00 PM,0013a20040b5b337,1,511,14.2,14.2,14.2,12.6,12.6,12.6,39.2,39.2,39.2,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216125500,,0
677,12/16/2014 01:05:00 PM,0013a20040b5b337,1,511,14.2,14.2,14.2,12.9,12.9,12.9,39.9,39.9,39.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216130500,,0
685,12/16/2014 01:15:00 PM,0013a20040b5b337,1,511,13.9,13.9,13.9,12.9,12.9,12.9,39.5,39.5,39.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216131500,,0
692,12/16/2014 01:25:00 PM,0013a20040b5b337,1,511,13.9,13.9,13.9,12.9,12.9,12.9,39.9,39.9,39.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216132500,,0
699,12/16/2014 01:35:00 PM,0013a20040b5b337,1,511,13.9,13.9,13.9,13.1,13.1,13.1,41.0,41.0,41.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216133500,,0
706,12/16/2014 01:45:00 PM,0013a20040b5b337,1,511,13.9,13.9,13.9,13.3,13.3,13.3,42.8,42.8,42.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216134500,,0
727,12/16/2014 02:20:00 PM,0013a20040b5b337,1,511,13.9,13.9,13.9,12.8,12.8,12.8,42.9,42.9,42.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216142000,,0
735,12/16/2014 02:30:00 PM,0013a20040b5b337,1,511,13.9,13.9,13.9,13.0,13.0,13.0,43.9,43.9,43.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216143000,,0
742,12/16/2014 02:40:00 PM,0013a20040b5b337,1,511,13.2,13.2,13.2,13.0,13.0,13.0,43.1,43.1,43.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216144000,,0
750,12/16/2014 02:50:00 PM,0013a20040b5b337,1,511,13.2,13.2,13.2,13.0,13.0,13.0,43.3,43.3,43.3,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216145000,,0
757,12/16/2014 03:00:00 PM,0013a20040b5b337,1,511,12.9,12.9,12.9,12.9,12.9,12.9,44.0,44.0,44.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216150000,,0
765,12/16/2014 03:10:00 PM,0013a20040b5b337,1,511,13.2,13.2,13.2,12.5,12.5,12.5,44.8,44.8,44.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141216151000,,0
